code_insee;latitude;longitude
2670;49.894;3.826
2671;49.51;3.188
2672;49.364;3.15
2673;49.429;3.13
2674;49.775;4.073
2675;49.48;3.781
2676;49.518;3.864
2677;49.016;3.517
2678;49.725;4.074
2679;49.119;3.215
2680;49.595;3.394
2681;49.804;3.832
2682;49.381;3.589
2683;50.044;3.555
2684;49.926;4.153
2685;49.597;3.439
2686;49.544;3.203
2687;49.312;3.196
2688;49.824;3.814
2689;49.714;3.876
2690;49.617;3.911
2691;49.847;3.278
2693;49.246;3.308
2694;49.746;3.183
2696;49.501;3.819
2697;49.587;3.743
2698;49.439;3.476
2699;49.214;3.484
2701;48.976;3.313
2702;49.834;3.198
2703;49.963;3.494
2704;49.494;3.206
2705;49.57;3.995
2706;49.338;3.362
2707;49.57;3.387
2708;49.932;3.341
2709;50.025;3.363
2710;49.78;3.218
2711;49.332;3.45
2712;49.183;3.571
2713;49.212;3.559
2714;49.372;3.447
2715;49.352;3.683
2716;49.619;3.342
2717;49.765;3.423
2718;49.196;3.15
2719;49.591;3.269
2720;49.564;3.92
2721;49.811;3.421
2722;49.379;3.325
2723;49.698;4.086
2724;49.135;3.293
2725;49.957;3.946
2726;49.727;3.12
2727;49.769;3.668
2728;49.914;3.883
2729;49.321;3.123
2730;49.411;3.6
2731;49.866;3.752
2732;49.747;3.48
2734;49.31;3.05
2735;49.287;3.55
2736;49.44;3.232
2737;49.73;3.919
2738;49.657;3.299
2739;49.447;3.369
2740;49.815;3.952
2741;49.832;3.459
2742;49.765;3.78
2743;49.641;4.089
2744;49.083;3.274
2745;49.697;3.75
2746;49.686;3.345
2747;49.859;3.089
2748;49.092;3.602
2749;49.198;3.177
2750;49.518;3.232
2751;49.472;3.611
2752;49.77;3.161
2753;49.971;3.594
2754;49.661;3.157
2755;49.494;3.557
2756;49.79;3.316
2757;49.923;3.574
2758;49.411;3.52
2759;49.857;3.794
2760;50.026;3.561
2761;49.415;3.981
2762;49.476;3.156
2763;49.356;3.489
2764;49.42;3.73
2765;49.521;3.559
2766;49.475;3.487
2767;49.42;3.277
2768;49.477;3.408
2769;50.011;3.523
2770;49.357;3.296
2772;49.824;3.136
2773;49.346;3.602
2774;49.908;3.138
2775;49.72;3.345
2776;50.012;3.209
2777;48.873;3.443
2778;49.432;3.657
2779;49.99;3.63
2780;49.368;3.392
2781;49.074;3.422
2782;49.923;3.169
2783;49.943;3.581
2784;49.958;3.563
2785;49.884;3.152
2786;49.545;3.319
2787;49.644;3.679
2788;49.658;3.443
2789;49.835;3.925
2790;49.675;3.79
2791;49.539;3.731
2792;49.083;3.219
2793;49.467;3.223
2794;49.187;3.683
2795;49.411;3.109
2796;49.182;3.299
2797;49.379;3.626
2798;48.907;3.396
2799;49.287;3.278
2800;48.958;3.47
2801;49.744;3.995
2802;49.663;3.982
2803;49.427;3.851
2804;49.3;3.322
2805;49.379;3.362
2806;49.171;3.476
2807;49.661;3.198
2808;49.949;3.188
